sessionId,insuredId,persona,countryCode,city,sessionNumber,sessionStart,sessionEnd,startHour,endHour,dayOfWeek,isWeekend,firstAction,lastAction,firstRoute,lastRoute,totalEvents,totalDurationSeconds,avgInterActionSeconds,minInterActionSeconds,maxInterActionSeconds,uniqueActions,uniqueRoutes,uniqueIpsUsed,uniqueDevicesUsed,totalKOs,totalOKs,longestKoStreak,hasLogin,hasLogout,ipChanged,deviceChanged,totalDownloadActions,maxDownloadsIn2Minutes,pingPongCount,endedAbruptly,is_anomaly,primary_anomaly_type,month,riskScoreMax,riskScoreAvg,anomaly_event_count,anomaly_types,campaignIds,actionSequenceSignature,routeSequenceSignature,iso_score,anomaly_prob,churn_prob,ensembleRiskScore
7493077-4717-78,86054717,frequent_checker,FR,Paris,78,2025-11-11 08:41:50+00:00,2025-11-11 08:58:21+00:00,8,8,1,0,Connexion en tant que,SSO Disconnect,login,logout,5,991.0,247.75,19.0,462.0,5,5,2,2,1,4,1,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-11,75,45.0,5,"[""impossible_device_switch""]",[],"Connexion en tant que > envoi d'une demande de résiliation > Changer ses informations personnel > Changer les coordonnées bancaire, changement de RIB pour les remboursements > SSO Disconnect",login > resiliation > personal_info > banking > logout,0.523225945183256,0.9998864,0.0,94.99545669555664
5913439-5929-77,90155929,frequent_checker,ES,Valencia,77,2025-11-14 08:25:26+00:00,2025-11-14 08:45:42+00:00,8,8,4,0,Connexion,Déconnexion,login,logout,6,1216.0,243.2,48.0,432.0,6,5,2,2,1,5,1,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-11,65,39.17,6,"[""impossible_device_switch""]",[],Connexion > demander un renvoi par mail d'échéancier > Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire) > Ouverture d'un document contractuel > Envoi d'une réclamation > Déconnexion,login > claims > contact_general > documents > claims > logout,0.5142948826598469,0.999845,0.0,94.99380111694336
4316885-9885-73,93739885,admin_delegated,FR,Bordeaux,73,2025-10-20 08:55:40+00:00,2025-10-20 09:28:55+00:00,8,9,0,0,Connexion,Déconnexion,login,logout,6,1995.0,399.0,20.0,690.0,5,5,2,2,1,5,1,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-10,65,39.17,6,"[""impossible_device_switch""]",[],Connexion > envoi d'une demande de résiliation > envoi d'une demande de résiliation > Envoi d'un document > Signature électronique d'un mandat sepa > Déconnexion,login > resiliation > resiliation > documents > beneficiaries > logout,0.50517390774177,0.9998431,0.0,94.99372482299805
500354-0589-80,73030589,frequent_checker,IT,Rome,80,2025-11-13 18:23:54+00:00,2025-11-13 18:40:36+00:00,18,18,3,0,Connexion,Déconnexion,login,logout,5,1002.0,250.5,50.0,633.0,5,5,2,2,2,3,2,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-11,75,47.0,5,"[""impossible_device_switch""]",[],"Connexion > Partager un justificatif du PACS > Changer les coordonnées bancaire, changement de RIB pour les remboursements > Téléchargement carte TP > Déconnexion",login > documents > banking > tp_card > logout,0.5567466500903311,0.99982446,0.0,94.99297714233398
3489900-5970-83,76515970,self_service,FR,Paris,83,2025-12-08 07:52:33+00:00,2025-12-08 08:19:59+00:00,7,8,0,0,Connexion,Déconnexion,login,logout,6,1646.0,329.2,32.0,674.0,6,6,2,2,2,4,2,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-12,75,40.83,6,"[""impossible_device_switch""]",[],Connexion > Envoi d'un message > Changer ses informations personnel > envoi d'une demande de résiliation > Changer l'organisme de rattachement sécu. Social > Déconnexion,login > contact_general > personal_info > resiliation > beneficiaries > logout,0.5150903753476131,0.99981743,0.0,94.9926986694336
5896433-9108-78,75559108,frequent_checker,NL,Amsterdam,78,2025-11-18 08:09:26+00:00,2025-11-18 08:21:36+00:00,8,8,1,0,Connexion SSO,SSO Disconnect,login,logout,5,730.0,182.5,16.0,560.0,5,5,2,2,1,4,1,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-11,75,45.0,5,"[""impossible_device_switch""]",[],Connexion SSO > Téléchargement carte TP > Exporter remboursement > Changer ses informations personnel > SSO Disconnect,login > tp_card > refunds > personal_info > logout,0.540534950578275,0.9998073,0.0,94.99229049682617
4574962-3444-82,86943444,admin_delegated,ES,Barcelona,82,2025-11-29 08:06:45+00:00,2025-11-29 08:15:48+00:00,8,8,5,1,Connexion en tant que,SSO Disconnect,login,logout,5,543.0,135.75,20.0,344.0,4,5,2,2,2,3,2,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-11,75,47.0,5,"[""impossible_device_switch""]",[],Connexion en tant que > Signature électronique d'un mandat sepa > Signature électronique d'un mandat sepa > Renvoi carte TP papier > SSO Disconnect,login > banking > beneficiaries > tp_card > logout,0.5992908031276997,0.9998061,0.0,94.99224472045898
7725682-6264-90,61156264,contact_heavy,ES,Madrid,90,2025-12-21 08:40:37+00:00,2025-12-21 08:54:50+00:00,8,8,6,1,Connexion,Déconnexion,login,logout,5,853.0,213.25,18.0,362.0,5,5,2,2,0,5,0,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-12,65,43.0,5,"[""impossible_device_switch""]",[],"Connexion > Changer les coordonnées bancaire, changement de RIB pour les cotisations > envoi d'une demande de résiliation > Changer l'organisme de rattachement sécu. Social > Déconnexion",login > banking > resiliation > beneficiaries > logout,0.5097716455018133,0.99979824,0.0,94.99192810058594
7297126-3375-74,68033375,self_service,FR,Toulouse,74,2025-10-23 09:09:26+00:00,2025-10-23 09:20:34+00:00,9,9,3,0,Connexion en tant que,SSO Disconnect,login,logout,5,668.0,167.0,38.0,261.0,5,5,2,2,2,3,1,1,1,1,1,0,0,0,0,1,impossible_device_switch,2025-10,75,47.0,5,"[""impossible_device_switch""]",[],Connexion en tant que > Exporter remboursement > Signature électronique d'un mandat sepa > Partager un justificatif du PACS > SSO Disconnect,login > refunds > beneficiaries > documents > logout,0.5213819048055307,0.99977964,0.0,94.99118423461914
4431154-1885-69,24671885,frequent_checker,IT,Bologna,69,2025-10-21 10:50:17+00:00,2025-10-21 11:06:24+00:00,10,11,1,0,Connexion,Déconnexion,login,logout,6,967.0,193.4,35.0,526.0,6,6,2,2,0,6,0,1,1,1,1,1,1,0,0,1,impossible_device_switch,2025-10,65,37.5,6,"[""impossible_device_switch""]",[],Connexion > envoi d'une demande de résiliation > Envoi carte TP par mail > Changer l'organisme de rattachement sécu. Social > Exporter remboursement > Déconnexion,login > resiliation > preferences > beneficiaries > refunds > logout,0.47990986994677365,0.9997013,0.0,94.98805236816406
