current_action,actual_next_action,frequency
Changer ses informations personnel,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",6
Connexion en tant que,Téléchargement de la carte de tiers payant,6
Connexion,Contactez nous : via message (Mes garanties),6
Téléchargement carte TP,Envoi d'une réclamation,6
Changer les coordonnées bancaire,Partager un justificatif du PACS,5
Signature électronique d'un mandat sepa,Envoi carte TP par mail,5
Connexion,Contactez nous : via message (Mes prises en charge/devis),5
Téléchargement de la carte de tiers payant,Télécharger le certificat d'adhésion,5
Changement de Mot de passe,Télécharger un décompte,5
Envoi d'un message,Téléchargement de la carte de tiers payant,5
Changer ses informations personnel,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",5
Contactez nous : via message (Mes remboursements),Partager un justificatif du PACS,5
Envoi d'un document,Changer l'organisme de rattachement sécu. Social,5
Changer ses informations personnel,Changer l'organisme de rattachement sécu. Social,5
Envoi d'une réclamation,Partager un justificatif du PACS,5
Exporter remboursement,Signature électronique d'un mandat sepa,5
Envoi d'une réclamation,Ouverture d'un document contractuel,5
Envoi carte TP par mail,demander un renvoi par mail d'échéancier,5
Changer ses informations personnel,Téléchargement de la carte de tiers payant,5
Contactez nous : via message (Mes garanties),Envoi d'un document,5
Ouverture d'un document contractuel,Téléchargement de la carte de tiers payant,5
Connexion en tant que,Envoi d'une réclamation,5
Ouverture d'un document contractuel,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",5
Changer l'organisme de rattachement sécu. Social,Partager un justificatif du PACS,5
Partager un justificatif du PACS,Télécharger un décompte,5
Téléchargement de la carte de tiers payant,demander un renvoi par mail d'échéancier,5
Connexion,Contactez nous : via message (Ma carte tiers-payant),5
demander un renvoi par mail d'échéancier,Envoi carte TP par mail,4
Changer les coordonnées bancaire,Exporter remboursement,4
Téléchargement de la carte de tiers payant,Partager un justificatif du PACS,4
Télécharger un décompte,Contactez nous : via message (Mes cotisations),4
Téléchargement de la carte de tiers payant,Envoi d'une réclamation,4
Changer l'organisme de rattachement sécu. Social,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",4
Validation MFA,Contactez nous : via message (Mes prises en charge/devis),4
Connexion,Contactez nous : via message (Mes remboursements),4
Télécharger le certificat d'adhésion,Envoi d'une réclamation,4
Télécharger le certificat d'adhésion,Renvoi carte TP papier,4
Télécharger le certificat d'adhésion,"Contactez nous : via message (Mon adhésion, Autres)",4
Télécharger le certificat d'adhésion,Ajout de la carte tiers payant dans le wallet,4
Connexion,Ajout de la carte tiers payant dans le wallet,4
Connexion,"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",4
Renvoi carte TP papier,Changer ses informations personnel,4
Renvoi carte TP papier,Télécharger le certificat d'adhésion,4
Téléchargement de la carte de tiers payant,Contactez nous : via message (Ma carte tiers-payant),4
Téléchargement de la carte de tiers payant,Envoi d'un message,4
Contactez nous : via message (Ma carte tiers-payant),Téléchargement de la carte de tiers payant,4
Contactez nous : via message (Ma carte tiers-payant),Exporter remboursement,4
Contactez nous : via message (Ma carte tiers-payant),Envoi carte TP par mail,4
Téléchargement carte TP,Envoi d'un document,4
Connexion SSO,Ajout de la carte tiers payant dans le wallet,4
Envoi carte TP par mail,Contactez nous : via message (Ma carte tiers-payant),4
Contactez nous : via message (Mes garanties),demander un renvoi par mail d'échéancier,4
Changer l'organisme de rattachement sécu. Social,Envoi d'un document,4
Partager un justificatif du PACS,Envoi d'un message,4
Partager un justificatif du PACS,Contactez nous : via message (Mes remboursements),4
Envoi d'un document,Téléchargement de la carte de tiers payant,4
Envoi d'un document,Téléchargement carte TP,4
Envoi carte TP par mail,Partager un justificatif du PACS,4
Envoi d'un message,envoi d'une demande de résiliation,4
Envoi d'un message,Exporter remboursement,4
Envoi d'une réclamation,Téléchargement de la carte de tiers payant,4
Exporter remboursement,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",4
Envoi d'une réclamation,Télécharger le certificat d'adhésion,4
Envoi d'un document,Contactez nous : via message (Mes garanties),4
Envoi d'un document,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),4
Contactez nous : via message (Mes remboursements),envoi d'une demande de résiliation,4
Changement de Mot de passe,Téléchargement de la carte de tiers payant,4
envoi d'une demande de résiliation,Partager un justificatif du PACS,4
envoi d'une demande de résiliation,Télécharger un décompte,4
Télécharger un décompte,Téléchargement carte TP,4
envoi d'une demande de résiliation,"Contactez nous : via message (Mon adhésion, Autres)",4
demander un renvoi par mail d'échéancier,Téléchargement de la carte de tiers payant,4
envoi d'une demande de résiliation,Changement de Mot de passe,4
Changement de Mot de passe,Changer l'organisme de rattachement sécu. Social,3
envoi d'une demande de résiliation,Changer l'organisme de rattachement sécu. Social,3
envoi d'une demande de résiliation,Changer ses informations personnel,3
Exporter remboursement,Contactez nous : via message (Ma carte tiers-payant),3
Exporter remboursement,Changer les coordonnées bancaire,3
demander un renvoi par mail d'échéancier,Envoi d'un message,3
envoi d'une demande de résiliation,Contactez nous : via message (Mes remboursements),3
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",3
Envoi carte TP par mail,Ouverture d'un document contractuel,3
envoi d'une demande de résiliation,Ouverture d'un document contractuel,3
Envoi d'un message,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),3
Exporter remboursement,Renvoi carte TP papier,3
Changer ses informations personnel,Renvoi carte TP papier,3
Exporter remboursement,Contactez nous : via message (Mes garanties),3
Exporter remboursement,Envoi carte TP par mail,3
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Changement de Mot de passe,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Exporter remboursement,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Ouverture d'un document contractuel,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Partager un justificatif du PACS,3
Contactez nous : via message (Mes prises en charge/devis),Renvoi carte TP papier,3
Connexion en tant que,Télécharger un décompte,3
Partager un justificatif du PACS,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),3
Partager un justificatif du PACS,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",3
Signature électronique d'un mandat sepa,Télécharger le certificat d'adhésion,3
Signature électronique d'un mandat sepa,Télécharger un décompte,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements","Changer les coordonnées bancaire, changement de RIB de bénéficiaire",3
Partager un justificatif du PACS,Envoi d'une réclamation,3
Ouverture d'un document contractuel,Envoi d'une réclamation,3
Renvoi carte TP papier,Changement de Mot de passe,3
Partager un justificatif du PACS,envoi d'une demande de résiliation,3
Envoi carte TP par mail,Changer ses informations personnel,3
Contactez nous : via message (Mes cotisations),Contactez nous : via message (Ma carte tiers-payant),3
Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),Télécharger un décompte,3
demander un renvoi par mail d'échéancier,Contactez nous : via message (Mes garanties),3
Changer les coordonnées bancaire,"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",3
Téléchargement carte TP,Ajout de la carte tiers payant dans le wallet,3
Connexion en tant que,Contactez nous : via message (Ma carte tiers-payant),3
Connexion,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),3
Connexion en tant que,Ajout de la carte tiers payant dans le wallet,3
Télécharger un décompte,Signature électronique d'un mandat sepa,3
Télécharger le certificat d'adhésion,Changement de Mot de passe,3
Télécharger le certificat d'adhésion,Envoi carte TP par mail,3
Télécharger le certificat d'adhésion,Partager un justificatif du PACS,3
Télécharger un décompte,Contactez nous : via message (Mes prises en charge/devis),3
Télécharger un décompte,Envoi d'une réclamation,3
Changer les coordonnées bancaire,Envoi carte TP par mail,3
Changement de Mot de passe,envoi d'une demande de résiliation,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Envoi d'un document,3
Ouverture d'un document contractuel,envoi d'une demande de résiliation,3
Envoi carte TP par mail,Exporter remboursement,3
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Télécharger le certificat d'adhésion,2
envoi d'une demande de résiliation,Envoi d'un message,2
Envoi d'un document,envoi d'une demande de résiliation,2
Changer les coordonnées bancaire,Télécharger un décompte,2
"Changer les coordonnées bancaire, changement de RIB pour les cotisations","Changer les coordonnées bancaire, changement de RIB de bénéficiaire",2
Envoi d'un message,Envoi d'un document,2
Exporter remboursement,demander un renvoi par mail d'échéancier,2
Ouverture d'un document contractuel,Ajout de la carte tiers payant dans le wallet,2
Changer les coordonnées bancaire,Renvoi carte TP papier,2
envoi d'une demande de résiliation,Télécharger le certificat d'adhésion,2
Télécharger un décompte,envoi d'une demande de résiliation,2
Envoi d'une réclamation,Contactez nous : via message (Ma carte tiers-payant),2
envoi d'une demande de résiliation,Envoi carte TP par mail,2
envoi d'une demande de résiliation,Renvoi carte TP papier,2
Changement de Mot de passe,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",2
Exporter remboursement,"Contactez nous : via message (Mon adhésion, Autres)",2
demander un renvoi par mail d'échéancier,Renvoi carte TP papier,2
Changer l'organisme de rattachement sécu. Social,Changer ses informations personnel,2
Connexion SSO,Contactez nous : via message (Ma carte tiers-payant),2
Connexion en tant que,Changer ses informations personnel,2
Télécharger un décompte,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),2
Connexion en tant que,Changement de Mot de passe,2
Téléchargement carte TP,Changement de Mot de passe,2
Contactez nous : via message (Ma carte tiers-payant),Contactez nous : via message (Mes garanties),2
Téléchargement carte TP,Changer ses informations personnel,2
Changer l'organisme de rattachement sécu. Social,envoi d'une demande de résiliation,2
Changement de Mot de passe,Téléchargement carte TP,2
Changement de Mot de passe,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",2
demander un renvoi par mail d'échéancier,"Contactez nous : via message (Mon adhésion, Autres)",2
Validation MFA,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),2
Télécharger un décompte,Ajout de la carte tiers payant dans le wallet,2
Changer ses informations personnel,Téléchargement carte TP,2
Télécharger un décompte,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",2
Changer l'organisme de rattachement sécu. Social,Contactez nous : via message (Mes garanties),2
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Changement de Mot de passe,2
Ouverture d'un document contractuel,"Contactez nous : via message (Mon adhésion, Autres)",2
Connexion en tant que,demander un renvoi par mail d'échéancier,2
Signature électronique d'un mandat sepa,demander un renvoi par mail d'échéancier,2
Signature électronique d'un mandat sepa,envoi d'une demande de résiliation,2
Renvoi carte TP papier,Contactez nous : via message (Mes prises en charge/devis),2
Signature électronique d'un mandat sepa,Envoi d'une réclamation,2
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Partager un justificatif du PACS,2
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Télécharger un décompte,2
Partager un justificatif du PACS,Téléchargement de la carte de tiers payant,2
Partager un justificatif du PACS,Télécharger le certificat d'adhésion,2
"Contactez nous : via message (Mon adhésion, Autres)",demander un renvoi par mail d'échéancier,2
Partager un justificatif du PACS,Changer les coordonnées bancaire,2
Contactez nous : via message (Mes cotisations),Partager un justificatif du PACS,2
Envoi d'un message,Contactez nous : via message (Ma carte tiers-payant),2
Changement de Mot de passe,Changer les coordonnées bancaire,2
Validation MFA,Ajout de la carte tiers payant dans le wallet,2
Téléchargement carte TP,Partager un justificatif du PACS,2
Téléchargement carte TP,demander un renvoi par mail d'échéancier,2
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Exporter remboursement,2
Changer ses informations personnel,envoi d'une demande de résiliation,2
Contactez nous : via message (Mes garanties),Contactez nous : via message (Ma carte tiers-payant),2
Changer ses informations personnel,Envoi carte TP par mail,1
"Contactez nous : via message (Mon adhésion, Autres)",Partager un justificatif du PACS,1
Envoi d'un message,Changer ses informations personnel,1
Envoi d'un message,Ouverture d'un document contractuel,1
Envoi d'une réclamation,Changer l'organisme de rattachement sécu. Social,1
Changer les coordonnées bancaire,envoi d'une demande de résiliation,1
"Contactez nous : via message (Mon adhésion, Autres)",Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
Envoi carte TP par mail,envoi d'une demande de résiliation,1
Changer les coordonnées bancaire,Télécharger le certificat d'adhésion,1
Contactez nous : via message (Mes remboursements),demander un renvoi par mail d'échéancier,1
Changer l'organisme de rattachement sécu. Social,Téléchargement de la carte de tiers payant,1
Télécharger un décompte,demander un renvoi par mail d'échéancier,1
demander un renvoi par mail d'échéancier,Signature électronique d'un mandat sepa,1
envoi d'une demande de résiliation,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",1
envoi d'une demande de résiliation,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",1
envoi d'une demande de résiliation,Contactez nous : via message (Mes prises en charge/devis),1
envoi d'une demande de résiliation,Téléchargement de la carte de tiers payant,1
Envoi d'un document,Contactez nous : via message (Mes cotisations),1
"Contactez nous : via message (Mon adhésion, Autres)",Changement de Mot de passe,1
envoi d'une demande de résiliation,Signature électronique d'un mandat sepa,1
Contactez nous : via message (Mes remboursements),Télécharger un décompte,1
Contactez nous : via message (Mes remboursements),Contactez nous : via message (Mes prises en charge/devis),1
Changement de Mot de passe,Ajout de la carte tiers payant dans le wallet,1
Ajout de la carte tiers payant dans le wallet,Changer ses informations personnel,1
Envoi d'une réclamation,Contactez nous : via message (Mes cotisations),1
Exporter remboursement,Envoi d'un message,1
Exporter remboursement,Ajout de la carte tiers payant dans le wallet,1
Envoi d'une réclamation,Contactez nous : via message (Mes garanties),1
Exporter remboursement,Contactez nous : via message (Mes prises en charge/devis),1
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Téléchargement carte TP,1
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Télécharger un décompte,1
Renvoi carte TP papier,Contactez nous : via message (Mes cotisations),1
Téléchargement de la carte de tiers payant,Changer l'organisme de rattachement sécu. Social,1
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Envoi carte TP par mail,1
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Téléchargement carte TP,1
Contactez nous : via message (Mes remboursements),Contactez nous : via message (Ma carte tiers-payant),1
Partager un justificatif du PACS,Contactez nous : via message (Mes cotisations),1
Partager un justificatif du PACS,Contactez nous : via message (Mes garanties),1
Contactez nous : via message (Mes prises en charge/devis),Changement de Mot de passe,1
Contactez nous : via message (Mes garanties),Télécharger un décompte,1
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Télécharger le certificat d'adhésion,1
"Contactez nous : via message (Mon adhésion, Autres)",Télécharger un décompte,1
Envoi carte TP par mail,Changer les coordonnées bancaire,1
Renvoi carte TP papier,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",1
Envoi carte TP par mail,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",1
Ouverture d'un document contractuel,demander un renvoi par mail d'échéancier,1
Partager un justificatif du PACS,Changer l'organisme de rattachement sécu. Social,1
Contactez nous : via message (Mes cotisations),Envoi d'un document,1
Contactez nous : via message (Mes cotisations),Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
Changer l'organisme de rattachement sécu. Social,Contactez nous : via message (Mes prises en charge/devis),1
Changer l'organisme de rattachement sécu. Social,Exporter remboursement,1
Renvoi carte TP papier,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",1
Contactez nous : via message (Mes prises en charge/devis),Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
Contactez nous : via message (Mes prises en charge/devis),Contactez nous : via message (Ma carte tiers-payant),1
Contactez nous : via message (Mes garanties),Partager un justificatif du PACS,1
Partager un justificatif du PACS,Renvoi carte TP papier,1
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",envoi d'une demande de résiliation,1
Téléchargement de la carte de tiers payant,Ajout de la carte tiers payant dans le wallet,1
Télécharger un décompte,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",1
Télécharger un décompte,Changer les coordonnées bancaire,1
Téléchargement de la carte de tiers payant,envoi d'une demande de résiliation,1
Télécharger le certificat d'adhésion,demander un renvoi par mail d'échéancier,1
Changer ses informations personnel,demander un renvoi par mail d'échéancier,1
Télécharger un décompte,Contactez nous : via message (Mes remboursements),1
Contactez nous : via message (Ma carte tiers-payant),Télécharger le certificat d'adhésion,1
Connexion en tant que,Contactez nous : via message (Mes garanties),1
Connexion en tant que,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
Téléchargement carte TP,Changer l'organisme de rattachement sécu. Social,1
Téléchargement carte TP,Changer les coordonnées bancaire,1
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Contactez nous : via message (Mes remboursements),1
Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),"Contactez nous : via message (Mon adhésion, Autres)",1
Télécharger le certificat d'adhésion,Changer les coordonnées bancaire,1
demander un renvoi par mail d'échéancier,Ajout de la carte tiers payant dans le wallet,1
Changer l'organisme de rattachement sécu. Social,Ajout de la carte tiers payant dans le wallet,1
Changer l'organisme de rattachement sécu. Social,Changement de Mot de passe,1
Changement de Mot de passe,demander un renvoi par mail d'échéancier,1
Télécharger le certificat d'adhésion,envoi d'une demande de résiliation,1
envoi d'une demande de résiliation,Contactez nous : via message (Mes garanties),1
envoi d'une demande de résiliation,Contactez nous : via message (Mes cotisations),1
envoi d'une demande de résiliation,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
Changer l'organisme de rattachement sécu. Social,Contactez nous : via message (Ma carte tiers-payant),1
demander un renvoi par mail d'échéancier,Contactez nous : via message (Ma télétransmission - rattachement automatique avec votre Régime Obligatoire),1
demander un renvoi par mail d'échéancier,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",1
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Envoi carte TP par mail,1
Changer l'organisme de rattachement sécu. Social,Télécharger un décompte,1
Changer l'organisme de rattachement sécu. Social,Télécharger le certificat d'adhésion,1
Changement de Mot de passe,Renvoi carte TP papier,1
Ajout de la carte tiers payant dans le wallet,Changer l'organisme de rattachement sécu. Social,1
Changement de Mot de passe,Envoi carte TP par mail,1
