from_action,to_action,count,probability
Changer les coordonnées bancaire,Signature électronique d'un mandat sepa,297,0.1584
Validation MFA,Ouverture d'un document contractuel,296,0.0675336527492585
Connexion SSO,Télécharger un décompte,293,0.07459266802443992
Connexion SSO,Changer ses informations personnel,291,0.07408350305498981
Changer ses informations personnel,SSO Disconnect,284,0.07888888888888888
Changer les coordonnées bancaire,Déconnexion,281,0.14986666666666668
Connexion SSO,Signature électronique d'un mandat sepa,280,0.07128309572301425
Changer les coordonnées bancaire,Changer les coordonnées bancaire,278,0.14826666666666666
Connexion SSO,Téléchargement de la carte de tiers payant,276,0.07026476578411406
Connexion,Envoi d'un document,275,0.03278493085360038
Validation MFA,Signature électronique d'un mandat sepa,260,0.059320100387862194
Validation MFA,Télécharger un décompte,252,0.057494866529774126
Connexion SSO,Envoi d'un document,250,0.06364562118126273
Validation MFA,Changement de Mot de passe,243,0.055441478439425054
Connexion,Téléchargement de la carte de tiers payant,243,0.028969957081545063
Envoi d'une réclamation,Déconnexion,239,0.26853932584269663
Téléchargement carte TP,Déconnexion,239,0.22547169811320755
Connexion,Télécharger un décompte,237,0.028254649499284693
Télécharger le certificat d'adhésion,Déconnexion,234,0.19663865546218487
Connexion,Ouverture d'un document contractuel,234,0.027896995708154508
Connexion en tant que,Changer les coordonnées bancaire,232,0.10540663334847797
Partager un justificatif du PACS,Envoi d'un document,232,0.15771583956492183
Renvoi carte TP papier,Déconnexion,228,0.21033210332103322
envoi d'une demande de résiliation,envoi d'une demande de résiliation,223,0.3149717514124294
Connexion,Connexion,221,0.026347162613257032
Télécharger le certificat d'adhésion,Exporter remboursement,220,0.18487394957983194
Changer l'organisme de rattachement sécu. Social,Déconnexion,219,0.10468451242829828
Connexion SSO,Ouverture d'un document contractuel,218,0.0554989816700611
Changement de Mot de passe,Changement de Mot de passe,217,0.1357098186366479
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",SSO Disconnect,215,0.18892794376098418
envoi d'une demande de résiliation,Déconnexion,212,0.2994350282485876
Connexion,Changement de Mot de passe,210,0.02503576537911302
Envoi d'un document,Partager un justificatif du PACS,208,0.07621839501648955
Partager un justificatif du PACS,SSO Disconnect,205,0.13936097892590074
Exporter remboursement,Télécharger le certificat d'adhésion,202,0.05682137834036568
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",SSO Disconnect,199,0.2034764826175869
Signature électronique d'un mandat sepa,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",198,0.052339413164155434
Validation MFA,Téléchargement de la carte de tiers payant,194,0.04426192105863564
Partager un justificatif du PACS,Ouverture d'un document contractuel,194,0.1318830727396329
Envoi d'une réclamation,Envoi d'une réclamation,193,0.21685393258426966
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Changer les coordonnées bancaire,185,0.1625659050966608
Validation MFA,Partager un justificatif du PACS,183,0.04175222450376454
Téléchargement carte TP,Téléchargement de la carte de tiers payant,179,0.16886792452830188
Ouverture d'un document contractuel,Partager un justificatif du PACS,173,0.07479463899697363
Téléchargement de la carte de tiers payant,Téléchargement carte TP,173,0.09236518953550454
Télécharger le certificat d'adhésion,SSO Disconnect,173,0.1453781512605042
Envoi carte TP par mail,Déconnexion,172,0.20187793427230047
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Déconnexion,171,0.15026362038664323
Téléchargement carte TP,SSO Disconnect,169,0.15943396226415094
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Signature électronique d'un mandat sepa,165,0.14499121265377857
Connexion,Partager un justificatif du PACS,163,0.019432522651406773
Connexion SSO,Téléchargement carte TP,162,0.04124236252545825
Renvoi carte TP papier,SSO Disconnect,159,0.1466789667896679
Partager un justificatif du PACS,Partager un justificatif du PACS,159,0.10808973487423522
Connexion SSO,Partager un justificatif du PACS,158,0.040224032586558045
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Déconnexion,154,0.1574642126789366
Connexion SSO,Télécharger le certificat d'adhésion,153,0.03895112016293279
Changer les coordonnées bancaire,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",150,0.08
Téléchargement carte TP,Téléchargement carte TP,150,0.14150943396226415
Connexion en tant que,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",148,0.06724216265333939
Validation MFA,Changer l'organisme de rattachement sécu. Social,148,0.03376682637462925
Changer ses informations personnel,Exporter remboursement,147,0.04083333333333333
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Signature électronique d'un mandat sepa,147,0.15030674846625766
Validation MFA,Changer les coordonnées bancaire,147,0.03353867214236824
Changer les coordonnées bancaire,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",146,0.07786666666666667
Connexion SSO,Changer les coordonnées bancaire,144,0.03665987780040733
Validation MFA,Envoi d'une réclamation,140,0.03194159251654118
Connexion,Signature électronique d'un mandat sepa,139,0.016571292322365285
Validation MFA,Télécharger le certificat d'adhésion,138,0.03148528405201916
Envoi d'un message,Déconnexion,137,0.3030973451327434
Validation MFA,Téléchargement carte TP,134,0.03057266712297513
Renvoi carte TP papier,Téléchargement de la carte de tiers payant,133,0.12269372693726938
Signature électronique d'un mandat sepa,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",132,0.034892942109436956
Changement de Mot de passe,SSO Disconnect,129,0.08067542213883677
Télécharger le certificat d'adhésion,Télécharger le certificat d'adhésion,128,0.10756302521008404
demander un renvoi par mail d'échéancier,Déconnexion,128,0.25806451612903225
Connexion SSO,Renvoi carte TP papier,128,0.032586558044806514
Connexion en tant que,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",126,0.05724670604270786
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Changer les coordonnées bancaire,126,0.12883435582822086
Connexion SSO,Changer l'organisme de rattachement sécu. Social,123,0.03131364562118126
Validation MFA,envoi d'une demande de résiliation,123,0.02806297056810404
Connexion,Changer les coordonnées bancaire,121,0.014425369575584168
Renvoi carte TP papier,Renvoi carte TP papier,120,0.11070110701107011
Connexion en tant que,Envoi d'un document,119,0.05406633348477965
Téléchargement de la carte de tiers payant,Renvoi carte TP papier,119,0.06353443673251469
Envoi carte TP par mail,SSO Disconnect,118,0.13849765258215962
Télécharger un décompte,Télécharger le certificat d'adhésion,116,0.05380333951762523
Connexion SSO,Changement de Mot de passe,115,0.029276985743380855
Envoi d'une réclamation,SSO Disconnect,113,0.12696629213483146
Connexion,Téléchargement carte TP,113,0.013471626132570339
"Changer les coordonnées bancaire, changement de RIB pour les cotisations","Changer les coordonnées bancaire, changement de RIB pour les cotisations",111,0.09753954305799649
Connexion SSO,Envoi d'une réclamation,111,0.028258655804480653
Connexion,Renvoi carte TP papier,109,0.012994754411063424
Connexion,Envoi d'une réclamation,109,0.012994754411063424
Connexion,Télécharger le certificat d'adhésion,107,0.012756318550309967
Exporter remboursement,Changer ses informations personnel,106,0.02981715893108298
envoi d'une demande de résiliation,SSO Disconnect,104,0.14689265536723164
Télécharger le certificat d'adhésion,Télécharger un décompte,103,0.0865546218487395
Validation MFA,Déconnexion,101,0.02304357745836185
Validation MFA,Renvoi carte TP papier,98,0.022359114761578827
demander un renvoi par mail d'échéancier,Envoi d'une réclamation,97,0.19556451612903225
Envoi carte TP par mail,Téléchargement de la carte de tiers payant,96,0.11267605633802817
Connexion en tant que,Ouverture d'un document contractuel,96,0.04361653793730123
Connexion SSO,envoi d'une demande de résiliation,95,0.024185336048879836
Envoi d'une réclamation,demander un renvoi par mail d'échéancier,95,0.10674157303370786
Envoi carte TP par mail,Envoi carte TP par mail,95,0.11150234741784038
Téléchargement de la carte de tiers payant,Envoi carte TP par mail,94,0.05018686599038975
Connexion,Envoi carte TP par mail,91,0.010848831664282308
Connexion,Changer l'organisme de rattachement sécu. Social,91,0.010848831664282308
Contactez nous : via message (Mes remboursements),Déconnexion,90,0.30927835051546393
Connexion,envoi d'une demande de résiliation,90,0.01072961373390558
"Changer les coordonnées bancaire, changement de RIB pour les cotisations","Changer les coordonnées bancaire, changement de RIB pour les remboursements",88,0.0773286467486819
"Changer les coordonnées bancaire, changement de RIB pour les remboursements","Changer les coordonnées bancaire, changement de RIB pour les remboursements",87,0.08895705521472393
Validation MFA,Envoi carte TP par mail,87,0.019849418206707735
Envoi d'un document,Changer ses informations personnel,86,0.031513374862587026
Connexion SSO,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",86,0.02189409368635438
Changer ses informations personnel,Envoi d'un document,85,0.02361111111111111
Télécharger un décompte,Changer ses informations personnel,85,0.03942486085343228
Changer ses informations personnel,Ouverture d'un document contractuel,85,0.02361111111111111
Connexion SSO,Envoi carte TP par mail,85,0.021639511201629328
Connexion en tant que,Partager un justificatif du PACS,82,0.0372557928214448
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",82,0.018708647045402694
Validation MFA,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",79,0.018024184348619667
Changer les coordonnées bancaire,Changer l'organisme de rattachement sécu. Social,79,0.042133333333333335
Téléchargement carte TP,Renvoi carte TP papier,78,0.07358490566037736
Ouverture d'un document contractuel,Changer ses informations personnel,76,0.03285776048421963
Signature électronique d'un mandat sepa,Envoi d'un document,76,0.020089875759978854
Changer ses informations personnel,Télécharger un décompte,76,0.021111111111111112
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",73,0.008702908917501192
Validation MFA,demander un renvoi par mail d'échéancier,73,0.016655258955053615
Changer l'organisme de rattachement sécu. Social,Changer les coordonnées bancaire,73,0.03489483747609943
Connexion,demander un renvoi par mail d'échéancier,72,0.008583690987124463
Téléchargement de la carte de tiers payant,Exporter remboursement,72,0.03844100373731981
"Changer les coordonnées bancaire, changement de RIB pour les remboursements","Changer les coordonnées bancaire, changement de RIB pour les cotisations",71,0.07259713701431493
Renvoi carte TP papier,Téléchargement carte TP,71,0.06549815498154982
Connexion SSO,SSO Disconnect,70,0.017820773930753563
"Contactez nous : via message (Mon adhésion, Autres)",Déconnexion,70,0.2713178294573643
Connexion SSO,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",69,0.017566191446028515
Contactez nous : via message (Mes garanties),Déconnexion,68,0.26877470355731226
Envoi d'un document,Exporter remboursement,68,0.02491755221692928
Connexion,Envoi d'un message,67,0.00798760133524082
Renvoi carte TP papier,Envoi carte TP par mail,66,0.06088560885608856
Validation MFA,Envoi d'un message,66,0.015058179329226557
Exporter remboursement,Envoi d'un document,66,0.018565400843881856
Envoi carte TP par mail,Changer l'organisme de rattachement sécu. Social,66,0.07746478873239436
Renvoi carte TP papier,Changer l'organisme de rattachement sécu. Social,65,0.05996309963099631
Envoi carte TP par mail,Renvoi carte TP papier,64,0.07511737089201878
Connexion,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",63,0.0075107296137339056
Connexion,Déconnexion,61,0.007272293752980448
Envoi d'un document,Télécharger un décompte,60,0.021986075485525832
Exporter remboursement,Téléchargement de la carte de tiers payant,60,0.016877637130801686
demander un renvoi par mail d'échéancier,SSO Disconnect,59,0.11895161290322581
Ouverture d'un document contractuel,Signature électronique d'un mandat sepa,59,0.025507998270644185
Envoi d'un document,Signature électronique d'un mandat sepa,58,0.021253206302674972
Signature électronique d'un mandat sepa,Ouverture d'un document contractuel,58,0.015331747290510176
Signature électronique d'un mandat sepa,Changer ses informations personnel,58,0.015331747290510176
Connexion SSO,demander un renvoi par mail d'échéancier,57,0.014511201629327902
Envoi d'un message,SSO Disconnect,57,0.1261061946902655
Changer l'organisme de rattachement sécu. Social,Renvoi carte TP papier,57,0.027246653919694074
Ajout de la carte tiers payant dans le wallet,Ajout de la carte tiers payant dans le wallet,56,0.1917808219178082
Ouverture d'un document contractuel,Exporter remboursement,55,0.023778642455685256
Exporter remboursement,Changement de Mot de passe,55,0.015471167369901548
Connexion en tant que,Renvoi carte TP papier,55,0.024988641526578828
Exporter remboursement,Ouverture d'un document contractuel,54,0.015189873417721518
Changer ses informations personnel,Changer les coordonnées bancaire,54,0.015
Téléchargement carte TP,Envoi carte TP par mail,54,0.0509433962264151
Changer ses informations personnel,Partager un justificatif du PACS,54,0.015
Changer les coordonnées bancaire,Envoi d'un document,53,0.028266666666666666
Validation MFA,Contactez nous : via message (Mes garanties),53,0.012092174309833448
Connexion SSO,Envoi d'un message,51,0.012983706720977596
Changer ses informations personnel,Signature électronique d'un mandat sepa,51,0.014166666666666666
Changement de Mot de passe,Exporter remboursement,50,0.031269543464665414
Ouverture d'un document contractuel,Télécharger un décompte,49,0.021184608733246867
demander un renvoi par mail d'échéancier,demander un renvoi par mail d'échéancier,48,0.0967741935483871
Télécharger un décompte,Téléchargement de la carte de tiers payant,47,0.021799628942486084
Télécharger un décompte,Envoi d'un document,47,0.021799628942486084
Contactez nous : via message (Mes prises en charge/devis),Déconnexion,47,0.28313253012048195
Exporter remboursement,Partager un justificatif du PACS,46,0.012939521800281293
Envoi carte TP par mail,Téléchargement carte TP,46,0.0539906103286385
Envoi d'un document,Téléchargement de la carte de tiers payant,45,0.016489556614144377
Changer les coordonnées bancaire,Changer ses informations personnel,45,0.024
Changer ses informations personnel,Télécharger le certificat d'adhésion,45,0.0125
Télécharger le certificat d'adhésion,Envoi d'un document,45,0.037815126050420166
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Changer l'organisme de rattachement sécu. Social,43,0.04396728016359918
Changement de Mot de passe,Envoi d'un document,42,0.02626641651031895
Changer l'organisme de rattachement sécu. Social,Envoi carte TP par mail,42,0.020076481835564052
Envoi d'un document,Télécharger le certificat d'adhésion,42,0.015390252839868083
Connexion en tant que,Exporter remboursement,42,0.019082235347569285
Partager un justificatif du PACS,Signature électronique d'un mandat sepa,42,0.028552005438477225
Téléchargement de la carte de tiers payant,Télécharger un décompte,41,0.02189001601708489
Partager un justificatif du PACS,Changer ses informations personnel,41,0.02787219578518015
Ouverture d'un document contractuel,Changer les coordonnées bancaire,41,0.01772589710332901
Télécharger un décompte,Ouverture d'un document contractuel,41,0.019016697588126158
Signature électronique d'un mandat sepa,Partager un justificatif du PACS,41,0.010837959291567539
Changer l'organisme de rattachement sécu. Social,Envoi d'un document,40,0.019120458891013385
Télécharger le certificat d'adhésion,Changer ses informations personnel,40,0.03361344537815126
Validation MFA,Contactez nous : via message (Mes remboursements),40,0.009126169290440338
Connexion,"Contactez nous : via message (Mon adhésion, Autres)",39,0.004649499284692418
Connexion en tant que,Envoi carte TP par mail,39,0.017719218537028625
Connexion,Contactez nous : via message (Mes garanties),39,0.004649499284692418
Téléchargement de la carte de tiers payant,Envoi d'un document,38,0.0202883075280299
Validation MFA,"Contactez nous : via message (Mon adhésion, Autres)",38,0.008669860825918321
Ouverture d'un document contractuel,Téléchargement de la carte de tiers payant,38,0.016428880242109815
Ouverture d'un document contractuel,Changement de Mot de passe,37,0.01599654128837008
Connexion en tant que,SSO Disconnect,37,0.016810540663334848
Connexion SSO,Contactez nous : via message (Mes remboursements),36,0.009164969450101833
Partager un justificatif du PACS,Exporter remboursement,36,0.024473147518694765
Contactez nous : via message (Mes cotisations),Déconnexion,36,0.24
Envoi d'un document,Changer les coordonnées bancaire,36,0.0131916452913155
Connexion,Contactez nous : via message (Mes remboursements),36,0.004291845493562232
Télécharger un décompte,Téléchargement carte TP,35,0.016233766233766232
Contactez nous : via message (Mes remboursements),SSO Disconnect,35,0.12027491408934708
Changement de Mot de passe,Signature électronique d'un mandat sepa,35,0.021888680425265792
Changement de Mot de passe,Ouverture d'un document contractuel,35,0.021888680425265792
Envoi d'un document,Changer l'organisme de rattachement sécu. Social,35,0.01282521069989007
Téléchargement carte TP,Télécharger un décompte,34,0.03207547169811321
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Changer l'organisme de rattachement sécu. Social,34,0.029876977152899824
Changer ses informations personnel,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",34,0.009444444444444445
Contactez nous : via message (Mes garanties),Envoi d'un message,34,0.13438735177865613
Envoi d'un message,Contactez nous : via message (Mes remboursements),34,0.0752212389380531
Changer l'organisme de rattachement sécu. Social,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",34,0.016252390057361378
Changer l'organisme de rattachement sécu. Social,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",33,0.01577437858508604
Connexion,Ajout de la carte tiers payant dans le wallet,33,0.003934191702432046
Ajout de la carte tiers payant dans le wallet,Téléchargement de la carte de tiers payant,33,0.11301369863013698
Télécharger un décompte,Envoi carte TP par mail,32,0.014842300556586271
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Changer ses informations personnel,32,0.028119507908611598
Ajout de la carte tiers payant dans le wallet,Déconnexion,32,0.1095890410958904
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Changer ses informations personnel,32,0.032719836400818
Connexion SSO,"Contactez nous : via message (Mon adhésion, Autres)",31,0.007892057026476579
Envoi d'un document,Changement de Mot de passe,31,0.011359472334188348
Ouverture d'un document contractuel,Renvoi carte TP papier,31,0.01340250756593169
Renvoi carte TP papier,Envoi d'un document,31,0.02859778597785978
Télécharger le certificat d'adhésion,Téléchargement de la carte de tiers payant,30,0.025210084033613446
Changement de Mot de passe,Télécharger un décompte,30,0.01876172607879925
Téléchargement de la carte de tiers payant,Ajout de la carte tiers payant dans le wallet,30,0.01601708489054992
Ouverture d'un document contractuel,Télécharger le certificat d'adhésion,30,0.01297016861219196
Contactez nous : via message (Mes garanties),SSO Disconnect,29,0.11462450592885376
Changer ses informations personnel,Téléchargement de la carte de tiers payant,29,0.008055555555555555
Envoi d'un message,Envoi d'un message,29,0.06415929203539823
Téléchargement de la carte de tiers payant,Changer ses informations personnel,29,0.015483182060864922
"Contactez nous : via message (Mon adhésion, Autres)",Envoi d'un message,29,0.1124031007751938
Télécharger un décompte,Changement de Mot de passe,29,0.013450834879406308
Contactez nous : via message (Mes remboursements),Envoi d'un message,29,0.09965635738831616
Connexion en tant que,Téléchargement de la carte de tiers payant,29,0.013175829168559746
Ouverture d'un document contractuel,Changer l'organisme de rattachement sécu. Social,29,0.012537829658452227
Exporter remboursement,Téléchargement carte TP,29,0.008157524613220815
"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",Changer les coordonnées bancaire,28,0.27450980392156865
Changer les coordonnées bancaire,Changement de Mot de passe,28,0.014933333333333333
Envoi d'un document,Renvoi carte TP papier,28,0.010260168559912056
Changement de Mot de passe,Partager un justificatif du PACS,28,0.017510944340212633
Changer les coordonnées bancaire,Ouverture d'un document contractuel,28,0.014933333333333333
Connexion en tant que,Télécharger un décompte,28,0.012721490231712857
Connexion,Contactez nous : via message (Mes prises en charge/devis),28,0.0033381020505484026
Changement de Mot de passe,Changer les coordonnées bancaire,27,0.016885553470919325
Partager un justificatif du PACS,Télécharger un décompte,27,0.018354860639021073
Télécharger un décompte,Envoi d'une réclamation,27,0.012523191094619666
Signature électronique d'un mandat sepa,Changement de Mot de passe,27,0.007137192704203013
Signature électronique d'un mandat sepa,Renvoi carte TP papier,27,0.007137192704203013
Signature électronique d'un mandat sepa,Envoi carte TP par mail,26,0.006872852233676976
Changer l'organisme de rattachement sécu. Social,Ouverture d'un document contractuel,26,0.0124282982791587
Renvoi carte TP papier,Ouverture d'un document contractuel,26,0.023985239852398525
Envoi d'une réclamation,Envoi d'un document,26,0.029213483146067417
Envoi d'une réclamation,Télécharger un décompte,26,0.029213483146067417
Contactez nous : via message (Ma carte tiers-payant),Déconnexion,26,0.2988505747126437
Ajout de la carte tiers payant dans le wallet,Téléchargement carte TP,26,0.08904109589041095
"Changer les coordonnées bancaire, changement de RIB pour les cotisations",Envoi d'un document,26,0.022847100175746926
Téléchargement carte TP,Télécharger le certificat d'adhésion,26,0.024528301886792454
Envoi d'un document,Envoi carte TP par mail,25,0.009160864785635764
Télécharger le certificat d'adhésion,Ouverture d'un document contractuel,25,0.02100840336134454
Changer les coordonnées bancaire,Exporter remboursement,25,0.013333333333333334
Envoi carte TP par mail,Télécharger un décompte,25,0.029342723004694836
Connexion SSO,Contactez nous : via message (Mes garanties),25,0.006364562118126273
Envoi d'un message,"Contactez nous : via message (Mon adhésion, Autres)",25,0.05530973451327434
Télécharger un décompte,Renvoi carte TP papier,25,0.011595547309833023
Exporter remboursement,Signature électronique d'un mandat sepa,25,0.007032348804500703
Téléchargement de la carte de tiers payant,Ouverture d'un document contractuel,25,0.013347570742124934
Envoi carte TP par mail,Envoi d'un document,24,0.028169014084507043
Envoi d'une réclamation,envoi d'une demande de résiliation,24,0.02696629213483146
Renvoi carte TP papier,Signature électronique d'un mandat sepa,24,0.02214022140221402
Contactez nous : via message (Mes cotisations),SSO Disconnect,23,0.15333333333333332
Partager un justificatif du PACS,Changement de Mot de passe,23,0.01563562202583277
Renvoi carte TP papier,Ajout de la carte tiers payant dans le wallet,23,0.021217712177121772
Envoi d'un document,Envoi d'une réclamation,23,0.008427995602784902
Télécharger un décompte,Partager un justificatif du PACS,23,0.010667903525046383
Renvoi carte TP papier,Télécharger un décompte,23,0.021217712177121772
Partager un justificatif du PACS,Changer les coordonnées bancaire,23,0.01563562202583277
Envoi carte TP par mail,Signature électronique d'un mandat sepa,22,0.025821596244131457
demander un renvoi par mail d'échéancier,Exporter remboursement,22,0.04435483870967742
demander un renvoi par mail d'échéancier,Télécharger un décompte,22,0.04435483870967742
Connexion en tant que,Téléchargement carte TP,22,0.009995456610631531
Ajout de la carte tiers payant dans le wallet,Renvoi carte TP papier,22,0.07534246575342465
Validation MFA,Contactez nous : via message (Mes cotisations),22,0.005019393109742185
Renvoi carte TP papier,Exporter remboursement,22,0.02029520295202952
Téléchargement carte TP,Exporter remboursement,22,0.020754716981132074
Changer les coordonnées bancaire,Partager un justificatif du PACS,22,0.011733333333333333
Envoi d'un message,Contactez nous : via message (Mes garanties),22,0.048672566371681415
"Contactez nous : via message (Mon adhésion, Autres)",SSO Disconnect,22,0.08527131782945736
Envoi carte TP par mail,Télécharger le certificat d'adhésion,22,0.025821596244131457
Téléchargement de la carte de tiers payant,Télécharger le certificat d'adhésion,22,0.011745862253069941
Changer l'organisme de rattachement sécu. Social,Partager un justificatif du PACS,21,0.010038240917782026
Envoi d'un message,Contactez nous : via message (Mes cotisations),21,0.046460176991150445
Envoi d'un message,Envoi d'une réclamation,21,0.046460176991150445
Télécharger le certificat d'adhésion,Renvoi carte TP papier,21,0.01764705882352941
Changer ses informations personnel,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",21,0.005833333333333334
Exporter remboursement,Renvoi carte TP papier,21,0.00590717299578059
Télécharger le certificat d'adhésion,Téléchargement carte TP,21,0.01764705882352941
Partager un justificatif du PACS,Changer l'organisme de rattachement sécu. Social,21,0.014276002719238613
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",21,0.007695126419934042
Ajout de la carte tiers payant dans le wallet,SSO Disconnect,21,0.07191780821917808
Connexion,"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",21,0.002503576537911302
Connexion en tant que,Télécharger le certificat d'adhésion,20,0.009086778736937756
Téléchargement carte TP,Ouverture d'un document contractuel,20,0.018867924528301886
Connexion,Contactez nous : via message (Mes cotisations),20,0.002384358607534573
"Changer les coordonnées bancaire, changement de RIB pour les cotisations","Changer les coordonnées bancaire, changement de RIB de bénéficiaire",20,0.01757469244288225
demander un renvoi par mail d'échéancier,envoi d'une demande de résiliation,20,0.04032258064516129
Télécharger le certificat d'adhésion,Envoi carte TP par mail,20,0.01680672268907563
"Changer les coordonnées bancaire, changement de RIB de bénéficiaire","Changer les coordonnées bancaire, changement de RIB pour les cotisations",20,0.19607843137254902
Changement de Mot de passe,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",20,0.012507817385866166
Ouverture d'un document contractuel,"Changer les coordonnées bancaire, changement de RIB pour les cotisations",20,0.00864677907479464
Changer ses informations personnel,Renvoi carte TP papier,20,0.005555555555555556
Contactez nous : via message (Mes garanties),Contactez nous : via message (Mes garanties),19,0.07509881422924901
"Changer les coordonnées bancaire, changement de RIB pour les remboursements",Envoi d'un document,19,0.019427402862985686
Signature électronique d'un mandat sepa,Exporter remboursement,19,0.0050224689399947136
Envoi d'un document,"Changer les coordonnées bancaire, changement de RIB pour les remboursements",19,0.006962257237083181
Connexion SSO,Contactez nous : via message (Mes prises en charge/devis),19,0.004837067209775967
Téléchargement carte TP,Ajout de la carte tiers payant dans le wallet,19,0.017924528301886792
Renvoi carte TP papier,Télécharger le certificat d'adhésion,19,0.017527675276752766
Validation MFA,Contactez nous : via message (Mes prises en charge/devis),19,0.004334930412959161
Changer les coordonnées bancaire,"Changer les coordonnées bancaire, changement de RIB de bénéficiaire",18,0.0096
Connexion SSO,Contactez nous : via message (Mes cotisations),18,0.004582484725050916
envoi d'une demande de résiliation,Envoi d'une réclamation,18,0.025423728813559324
